                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      1.8300000000000014e+00,      1.6843204638636529e+07,     -6.5696315127321547e+06
      1.8400000000000014e+00,     -2.3839233375397205e+07,      1.9977980933512155e+07
      1.8500000000000014e+00,      2.8738570585001420e+07,     -7.8059819267267525e+07
      1.8600000000000014e+00,     -8.1190782726620166e+06,      2.9753359586298587e+06
      1.8700000000000014e+00,     -1.5082356586965991e+07,     -1.4856298220241420e+07
      1.8800000000000014e+00,     -5.9348984408615809e+05,     -1.6152960837429658e+07
      1.8900000000000015e+00,      9.0362094656716242e+07,      5.4783766330721200e+07
      1.9000000000000015e+00,      1.2834302937585324e+07,      2.9711448498770665e+07
      1.9100000000000015e+00,     -1.1320651910875298e+07,      6.2807612198115429e+06
      1.9200000000000015e+00,      5.8597558966047406e+08,     -1.7302423433359817e+08
      1.9300000000000015e+00,      4.1083516906961039e+07,      6.1547713606344342e+07
      1.9400000000000015e+00,     -4.2443751511468783e+07,     -1.3730847800437835e+08
      1.9500000000000015e+00,      7.9278030136924386e+06,     -1.1736623644902578e+07
      1.9600000000000015e+00,     -8.7804769192273721e+07,     -1.0239606945672715e+08
      1.9700000000000015e+00,      5.4096092586918199e+08,      1.1511826529045730e+09
      1.9800000000000015e+00,     -8.7009040413724214e+07,     -1.3818184383562994e+08
      1.9900000000000015e+00,     -1.5566712171208303e+07,     -8.1181103670193255e+07
      2.0000000000000013e+00,     -2.0029953943628982e+07,      1.9934296169062313e+07
      2.0100000000000011e+00,     -4.6136802115458071e+07,      6.2252270334409006e+07
      2.0200000000000009e+00,     -1.0793750031304389e+07,      4.2890322824238896e+07
      2.0300000000000007e+00,      3.0806819985858746e+07,      4.7437043140497111e+07
      2.0400000000000005e+00,      8.5130512885330886e+07,      4.0508238910065256e+07
      2.0500000000000003e+00,     -4.6816680982459113e+07,      4.9186091310750566e+07
      2.0600000000000001e+00,      8.6732782658923212e+06,      2.3986501028246651e+06
      2.0699999999999998e+00,     -1.1552351643497447e+07,     -5.7825186205719681e+06
      2.0799999999999996e+00,      3.7812914080631104e+09,     -1.9078600941821630e+09
      2.0899999999999994e+00,      4.8431688391399155e+09,      6.1892950487464275e+09
      2.0999999999999992e+00,      1.0804159327402534e+09,     -7.1622127276158571e+09
      2.1099999999999990e+00,      2.8031676370370202e+06,      3.0212041755979095e+07
      2.1199999999999988e+00,      2.2306331028698251e+07,     -2.6665884421381634e+07
      2.1299999999999986e+00,     -3.1710249037764065e+07,      5.8381824866968824e+05
      2.1399999999999983e+00,      7.8568556033805208e+06,      3.7333569077221649e+06
      2.1499999999999981e+00,      5.6688456534775190e+07,     -5.8649767311989129e+07
      2.1599999999999979e+00,     -2.3085670156652805e+08,      1.4416723523148751e+08
      2.1699999999999977e+00,     -5.7969070973459125e+07,     -1.3865432573987857e+08
      2.1799999999999975e+00,     -9.0806389732923806e+07,      7.0820630224788630e+08
      2.1899999999999973e+00,      5.6266878919745395e+06,     -6.1566528314728670e+07
      2.1999999999999971e+00,      1.4286940536323320e+06,      4.3650517773758218e+05
      2.2099999999999969e+00,      3.2534150773713470e+07,      1.5908992002945203e+07
      2.2199999999999966e+00,      1.4967542203086611e+07,      9.3036022782949265e+06
      2.2299999999999964e+00,     -1.3069127323392645e+07,     -4.6394700173824150e+06
      2.2399999999999962e+00,     -1.6901279432317689e+06,     -1.4619623828964543e+07
      2.2499999999999960e+00,     -6.5103799261576012e+06,      3.8947122366890302e+06
      2.2599999999999958e+00,     -3.2845282832791217e+07,     -2.6202449574273251e+07
      2.2699999999999956e+00,      3.4738251902775824e+07,     -3.3486691356563848e+07
      2.2799999999999954e+00,     -1.2281875556684637e+09,     -1.1999184360337417e+08
      2.2899999999999952e+00,     -2.7339658807886511e+07,      6.3008517095257914e+08
      2.2999999999999949e+00,     -7.0450213326618166e+09,      8.2988370017822342e+09
      2.3099999999999947e+00,      1.2944062979150381e+09,      2.8582723041396493e+08
      2.3199999999999945e+00,     -4.2795302342799842e+07,      4.6789071170358639e+06
      2.3299999999999943e+00,     -1.0047388449751300e+08,      2.1400436888017124e+08
      2.3399999999999941e+00,     -2.1676302410700809e+07,     -2.2313260179740135e+06
      2.3499999999999939e+00,     -1.5943390141397301e+07,      5.1521833180103585e+07
      2.3599999999999937e+00,     -6.2682460440559566e+07,     -1.5375789501697632e+07
      2.3699999999999934e+00,     -6.8910575166856933e+08,      6.6267753364844203e+07
      2.3799999999999932e+00,     -2.7411171123922087e+07,      1.7626592576363990e+08
      2.3899999999999930e+00,      1.8020879460727501e+08,      2.1704960650553569e+08
      2.3999999999999928e+00,     -5.8111072035432220e+07,      2.8893829857037935e+07
      2.4099999999999926e+00,      4.6858507618360072e+06,      3.8216638081486300e+06
      2.4199999999999924e+00,     -6.3414282328322018e+06,      5.6999445748317093e+06
      2.4299999999999922e+00,      2.6646834385806732e+07,     -9.7462729716349335e+05
      2.4399999999999920e+00,      6.1598783236612797e+07,      1.4570668157393437e+07
      2.4499999999999917e+00,      2.9311459597200310e+08,      2.2694993340118587e+08
      2.4599999999999915e+00,      4.4152768946139121e+08,      5.5397760387898195e+08
      2.4699999999999913e+00,      3.2246284616141021e+07,      1.7645981576971632e+08
      2.4799999999999911e+00,      4.3704228495053224e+07,     -5.6359484295722041e+06
      2.4899999999999909e+00,     -1.0690124126172742e+08,     -6.8015663709113687e+07
      2.4999999999999907e+00,      6.2212935718115933e+07,     -9.7138405638468247e+06
      2.5099999999999905e+00,     -1.9610296937391251e+07,     -2.8366730425285086e+07
      2.5199999999999902e+00,      1.2123385383477241e+08,     -4.2094444878176486e+08
      2.5299999999999900e+00,      2.1650786932748814e+09,     -1.1432642453731854e+09
      2.5399999999999898e+00,     -1.7749066017123163e+08,      8.0113926667251003e+08
      2.5499999999999896e+00,      3.2304552589596506e+07,     -3.4945082553743191e+07
      2.5599999999999894e+00,      2.9251214480613664e+07,      2.3439931915544502e+07
      2.5699999999999892e+00,      2.2724579789455205e+07,      1.2231213329610968e+08
      2.5799999999999890e+00,     -5.8481009479030097e+08,      9.3375945472664845e+08
      2.5899999999999888e+00,      3.3663814372347587e+08,     -5.0236296308127087e+08
      2.5999999999999885e+00,      3.9557083135074303e+07,     -6.9415368305566356e+07
      2.6099999999999883e+00,     -1.7528173987966478e+07,      1.3660341779676659e+07
      2.6199999999999881e+00,     -1.1517717530596885e+08,      2.1337147992843592e+08
      2.6299999999999879e+00,     -3.0281904086920116e+06,     -3.3154260354819749e+07
      2.6399999999999877e+00,     -1.0575737664530817e+07,      4.6318151069170840e+07
      2.6499999999999875e+00,      1.4023565505598462e+08,      4.7979399982092448e+07
      2.6599999999999873e+00,     -1.5030316192783511e+08,      2.1020267988447183e+08
      2.6699999999999871e+00,      1.3527644684136397e+08,      3.7135845308427505e+07
      2.6799999999999868e+00,      1.4889937266107932e+07,     -2.1437171837282881e+07
      2.6899999999999866e+00,      1.0395915922529267e+07,      1.4265492377300858e+07
      2.6999999999999864e+00,      2.7549033870863700e+06,     -1.1938860535174586e+07
      2.7099999999999862e+00,     -2.1250989495974202e+06,     -9.2189824002241045e+06
      2.7199999999999860e+00,      7.2394363220470369e+07,     -2.2686786667739000e+07
      2.7299999999999858e+00,      6.6651138984984934e+07,     -8.4012220373326421e+07
      2.7399999999999856e+00,     -7.3662183574677572e+07,      4.0017587379031146e+08
      2.7499999999999853e+00,      1.2429031992647886e+07,     -2.3233322497262266e+07
      2.7599999999999851e+00,     -1.0537344848184332e+07,     -2.1177312896588851e+07
      2.7699999999999849e+00,     -1.0385783872275351e+07,      2.8996102882126983e+07
      2.7799999999999847e+00,     -4.2439592344442144e+07,      2.0410979351140749e+07
      2.7899999999999845e+00,      4.2334577773764029e+07,     -8.3325502368339136e+07
      2.7999999999999843e+00,      2.6088050184458524e+07,     -7.3389745205178037e+07
      2.8099999999999841e+00,      1.7643340831855485e+08,     -3.6471231879770774e+08
      2.8199999999999839e+00,      3.8503405002384150e+08,     -1.7058289158056411e+08
      2.8299999999999836e+00,     -7.5530745030740887e+07,      2.8465343321221460e+07
      2.8399999999999834e+00,      1.1258405081164893e+07,      6.0148407248498194e+07
      2.8499999999999832e+00,     -1.0064523030590752e+08,      1.6494379146494113e+07
      2.8599999999999830e+00,     -3.5979615096801691e+09,     -8.0376290688491116e+09
      2.8699999999999828e+00,     -6.4236540246475048e+09,      3.6821534246213931e+08
      2.8799999999999826e+00,     -5.8881245058975506e+08,      2.3069431935327592e+09
      2.8899999999999824e+00,      7.8851945714531392e+07,     -1.1320955927642018e+07
      2.8999999999999821e+00,     -6.8393287451838925e+07,     -6.7403484887524825e+06
      2.9099999999999819e+00,      2.5227252645881972e+08,     -4.6812445678575355e+08
      2.9199999999999817e+00,     -2.6814885415598178e+08,     -2.1024881406579763e+08
      2.9299999999999815e+00,     -6.2644174427023083e+06,      1.8506661263383043e+08
      2.9399999999999813e+00,      7.6264438800218701e+06,     -8.5744457579125419e+07
      2.9499999999999811e+00,      2.3135614257381958e+08,     -3.4204728704312198e+07
      2.9599999999999809e+00,     -1.3565449382224007e+09,     -5.7955736492394981e+09
      2.9699999999999807e+00,      6.3417044177063646e+09,     -9.4123606859741688e+09
      2.9799999999999804e+00,     -1.2635075018526244e+08,      3.1237020737517990e+07
      2.9899999999999802e+00,     -2.2584827753406793e+07,     -6.2665647049057908e+07
      2.9999999999999800e+00,     -5.4770167906019017e+06,      1.1496669902034426e+07
